key_themes,summary,sentiment,reply,actionable_recommendation,customer_emotions
"['unique', 'spicy chicken wings', 'mocktails', 'good atmosphere']","Our customer, Md Abu Sayem, loved our restaurant's unique offerings and exceptional service, rating us 5 stars overall with perfect scores in food, service, and atmosphere.",pos,"Dear Md Abu Sayem, we're thrilled you enjoyed your experience at our restaurant! Our spicy chicken wings and mocktails are indeed fan favorites. We appreciate your feedback on our unique offerings and exceptional service. Thank you for your kind words, and we can't wait to serve you again soon!",We recommend trying our new seasonal menu items.,"{'happy': 80, 'sad': 0, 'angry': 0, 'frustrated': 10, 'neutral': 10}"
"['Excellent service', 'Great food']","Customer had a perfect experience at our restaurant, giving us a 5-star rating.",pos,"Thank you so much for your kind words about our restaurant! We're thrilled that you enjoyed your visit and can't wait to welcome you back. If you have any feedback or suggestions on how we can improve, please don't hesitate to share them with us.",Continuously train staff to provide exceptional service,"{'happy': 100, 'sad': 0, 'angry': 0, 'frustrated': 0, 'neutral': 0}"
"['refreshing drinks', 'hangout spot', 'great options']","Our restaurant is a quiet hangout spot with great drink and food options that earned us a 4-star rating from Hasnain Anjum, who appreciated our atmosphere and service.",pos,"Thank you for visiting our restaurant, Hasnain! We're glad you enjoyed the drinks and atmosphere. Sorry to hear the food could've been better (4/5). Come back soon and try more of our menu items!",Improve drink options variety.,"{'happy': 80, 'sad': 10, 'angry': 0, 'frustrated': 5, 'neutral': 5}"
"['nice place', 'good tea and pancakes', 'avoid ramen']","We're thrilled that you enjoyed your overall experience at our restaurant, including the atmosphere, service, and food (except for the ramen).",pos,Thank you for sharing your feedback! We're glad to hear that you enjoyed our tea and pancakes. Sorry to hear that you didn't enjoy the ramen - we'll take it as a suggestion to improve our menu offerings.,We will review our menu options and consider removing or adjusting the ramen dish based on customer feedback.,"{'happy': 80, 'sad': 0, 'angry': 0, 'frustrated': 10, 'neutral': 10}"
['unknown'],This customer was somewhat satisfied with their experience.,neg,"Thank you for sharing your feedback. We apologize that we fell short of meeting your expectations. If you would like to discuss further, please let us know.",Investigate possible reasons for unsatisfactory experience and implement improvements in quality control and customer service.,"{'happy': 0, 'sad': 50, 'angry': 25, 'frustrated': 25, 'neutral': 0}"
['none'],Exceptional dining experience with a perfect score of 5 stars.,pos,"Dear Md Ashiqur Rahman, thank you for your perfect review. We're thrilled to hear that you had an exceptional dining experience at our restaurant. We strive to provide the best service and food to all our customers, and it's great to know we met your expectations.",Continue providing high-quality food and services to maintain a 5-star rating.,"{'happy': 80, 'sad': 0, 'angry': 20, 'frustrated': 0, 'neutral': 0}"
"['food', 'chocolate pancakes', 'sour ramen', 'nice and cozy']","Customer had a mixed experience with some good points (good food, nice atmosphere) but also some bad points (sour ramen), resulting in a 4-star rating.",neg,"Dear Purva Patani, Thank you for visiting us and sharing your feedback. We're glad to hear that our chocolate pancakes met your expectations. Sorry to hear that the chilly ramen was not up to par - we'll make sure to adjust the seasoning. We're happy you enjoyed the atmosphere of our restaurant.",Improve the quality of chilled ramen by adjusting seasoning.,"{'happy': 60, 'sad': 20, 'angry': 10, 'frustrated': 5, 'neutral': 5}"
"['cozy', 'nice', 'professional', 'food', 'service']","Overall, our restaurant exceeded your expectations with its exceptional service and delicious food in a wonderful atmosphere.",pos,"Dear Masud Rana,

We are thrilled to hear that you had an excellent experience at our restaurant! Our staff strives to provide professional and attentive service, and it's great to know we met your expectations. We're also glad you enjoyed the food and atmosphere.

Thank you for choosing us and for taking the time to share your kind words. We look forward to serving you again soon!

Best regards,
The Restaurant Owner","To maintain high standards, ensure staff receives ongoing training on providing exceptional service.","{'happy': 80, 'sad': 0, 'angry': 0, 'frustrated': 20, 'neutral': 0}"
"['poor experience', '']","We are disappointed to hear that our customer had a poor experience with us, and we will look into this further.",neg,Thank you for your feedback. We apologize that your visit did not meet your expectations. Can you please DM us so we can discuss further?,Improve overall customer experience,"{'happy': 0, 'sad': 100, 'angry': 0, 'frustrated': 0, 'neutral': 0}"
"['amazing place', 'quality time']","The reviewer, Md. Arfin Imtiaz, thoroughly enjoyed their experience at our restaurant, rating it 5 stars with perfect scores in all aspects.",pos,"Dear Md. Arfin Imtiaz,

Thank you for your kind words about your visit to our restaurant! We're thrilled that you had an amazing time and found the atmosphere, service, and food to be exceptional.

We appreciate your feedback and will continue to strive for excellence in all areas. Thank you again for choosing us!
Best regards,
[Your Name]
Restaurant Owner","Continue providing excellent service, atmosphere, and food quality to maintain a 5-star rating.","{'happy': 90, 'sad': 0, 'angry': 0, 'frustrated': 0, 'neutral': 10}"
